"3d_viz_custom_consultants","accounting_custom_consultants","acoustics_custom_consultants","ae_fee_number","ae_sourced_cost_co_number","ae_sourced_number_co_number","arborist_custom_consultants","archeologist_custom_consultants","art_consultant1_custom_consultants","audiovisual_custom_consultants","aviation_custom_consultants","awards_received1_list_text","awards_submissions_list_text","bid_amount_number","bid_cost_number","bid_date_date","bid_estimate_number","builder_custom_consultants","builder_phase_engagement_option_design_phases","building_envelope_custom_consultants","business_management_custom_consultants","certifications_list_text","civil_custom_consultants","client_custom_consultants","cm_custom_consultants","code_consultant1_custom_consultants","companysubscribed_custom_companysubscriber","completion_date__actual__date","completion_date__anticipated__date","completion_date_date","construction_budget_number","construction_cost_at_start_of_construction_number","construction_cost_at_start_of_design_number","construction_cost_number","construction_materials_text","construction_start__actual__date","construction_start__anticipated__date","construction_testing_custom_consultants","consultant_cost_co_number","consultant_number_co_number","contract_award_date_date","cost_estimator3_custom_consultants","cost_number","costpersqft_number","date_of_occupancy_date","delivery_method_text","design_completion_date","design_custom_consultants","design_start_date","door_hardware_custom_consultants","electric_solar_meter__kbtu__list_number","electric_year_ending_date_list_date","electrical_custom_consultants","elevator_consultant_custom_consultants","environmental_custom_consultants","final_construction_cost_number","fire_protection1_custom_consultants","food_service_custom_consultants","geotech_custom_consultants","grade_level_text","graphic_design_custom_consultants","hazmat_custom_consultants","historic_preservation_custom_consultants","image_image","inspections_custom_consultants","interior_design_consultant_custom_consultants","internal_team_list_user","lab_planning_custom_consultants","land_survey_custom_consultants","landscape_custom_consultants","lighting_consultant_custom_consultants","location_geographic_address","location_text","mechanical_custom_consultants","mechanical_system_text","name_text","no__levels_floors_number","no__units_number","occupancy_number","owner_generated_cost_co_number","owner_generated_number_co_number","parking_design_custom_consultants","parking_space_number","permit_review_custom_consultants","phase_text","planning1_custom_consultants","plumbing_custom_consultants","pm_custom_consultants","prime_list_custom_consultants","principal_in_charge_user","program_text","project_description_text","project_id_text","project_images_list_image","project_imgs_files_list_file","project_imgs_names_list_text","project_narrative_text","project_number_number","project_order_number","project_publicity_list_text","project_status_option_project_status","project_survey_list_custom_survey","project_us_state_text","public_relations_custom_consultants","real_estate_custom_consultants","regioncounty_text","roofing_consultant_custom_consultants","scope_of_services_text","site_description_text","site_size_number","size_number","specifications_consultant_custom_consultants","specifications_custom_consultants","sq__ft___addition__number","sq__ft___reno__number","sq__ft__new__number","sq__ft__total_number","start_date_date","structural_custom_consultants","structural_system_text","sustainability_consultant_custom_consultants","sustainability_text","telecommunications_custom_consultants","total_cost_co_number","total_number_co_number","total_project_budget_number","total_project_cost_number","traffic_consultant_custom_consultants","type_list_text","unforeseen_cost_co_number","unforeseen_number_co_number","waterproofing_custom_consultants","Created Date","Modified Date","_id","Slug","Created By","Created By - email"
"","","","","","","","","","","","NAIOP Kūkulu Hale Award – Public/Government 2022
AIA Honolulu Honorable Mention 2022","","","","","","","","","","LEED Silver – New Construction","","1732726177825x266520597998423550","","","1728659653678x113956400766583870","","","Jan 1, 2017 12:00 am","","","","","","","","","","","","","30000000","","","","","","","","","","1730039943222x720852572887955100","","","","","","","","","","","//0ed78b5707abf347847d0ace9c40561b.cdn.bubble.io/f1736282194367x530852081309002940/5.jpg","","","","","","1730156264641x149063939743833600","","722 South Aohoku Place, Hilo, HI 96720, USA","722 South Aohoku Place, Hilo, HI 96720","","","
University of Hawaiʻi at Hilo Hale Kīhoʻihoʻi – Daniel K. Inouye College of Pharmacy","","","","","","","","","","","","","","","","","","","","","Design & Documentation services for New $30M, 45,000 s.f. 2-story building for the University of Hawaii at Hilo that will house educational facilities for the School of Pharmacy that includes Practice and Teaching Labs, Classrooms, Private Study Rooms, Lecture Halls, Lounge & Recreational Area, Administrative and Faculty Offices, and related uses. Processing credits for LEED Silver Certification.","13121","","","","","HI","","","","","","","","45000","","","","","","","","1730156264636x736344256571418200","","","","","","","","","","","","","","Dec 30, 2024 9:38 am","Jan 9, 2025 10:36 am","1735569491797x982439544485781600","","admin_user_arch-dash_test",""
"","","1730156561454x554511758673992240","","","","","","","","","","","","","","","1730039943222x316329878207117100","","","","N/A","1730082692724x317828471061490500","1732726177833x405578777085176640","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","68000000","","","","","","","","","","1730155554348x964433646398899600","","","","","","1730155404019x964405795441279700","","","","","","","","","","","1730156561453x299346794249964600","","","Honolulu, Hawaii","1730155554348x964433646398899600","","’Iolani School Student Center","","","","","","","","","","","","","","","","New construction and interiors, 4 story building on existing resort site composed of 18 3-bedroom/3bath Condo villa units and 1 3bedroom/4 bath Condo Grand villa unit.","","","","","100words
(Insert project text here. Below is an example of another project.)


500-1000words
(Insert project text here. Below is an example of another project.)","21131","","","","","","","","","","","","","73086","","","","","","","","1730082692719x553220684389339460","","","","","","","","","","Educational Facilities","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157651x847008971113437400","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","1730082692724x317828471061490500","1732726177834x220223007147310820","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730039943222x720852572887955100","","","","","","","","","","","","","","","","","1730156264635x656872084553408200","","","1505 Dillingham Boulevard Honolulu, Hawaiʻi 96817","1730156561454x554511758673992240","","‘Ōlauniu at Kapālama Kai","","","","","","","","","","","","","","","","","","","","","‘Ōlauniu at Kapālama Kai adaptively reuses the existing industrial warehouse site into new creative hub that will serve the local community including the students of Kamehameha Schools. The project is envisioned as an indigenous creative catalyst that brings to an urban industrial neighborhood much-needed indoor/outdoor gathering spaces, an architectural language inspired by the project’s namesake of swaying coconut fronds, and a sense of place grounded in the yesterday, today, tomorrow of the site. Four existing separate but connected buildings (A,B,C, and D) comprise the main building and are designed as a cohesive center connected via an outdoor plaza and outdoor walkways, with a mix of retail and restaurant tenants, makerspaces and multimedia studios, office tenants, and gathering and performance spaces.","22132","","","","","","","","","","","","","96300","","","","","","","","1730155554352x145521819847869820","","","","","","","","","","Retail/Malls/Shopping Centers","","","","Dec 30, 2024 10:09 am","Dec 30, 2024 10:09 am","1735571384871x167778693598523500","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ainako Subdivision","","","","","","","","","","","","","","","","","","","","","","23133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Planning","","","","Dec 30, 2024 10:14 am","Dec 30, 2024 10:14 am","1735571689277x315309120608402000","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177830x568702468619621840","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Honolulu","","","Ala Moana Center Master Plan- Concept and Planning Phase","","","","","","","","","","","","","","","","Brookfield Properties as part of the ownership group of Ala Moana Center (Center), the acclaimed open-air retail and dining center in Honolulu, has initiated a 30-year master plan to guide the future development and evolution of the Center.   To help explore Brookfield’s vision to connect, diversify, and expand the Center into a mixed-use neighborhood, Brookfield has solicited conceptual master plan alternatives in response to the principles outlined in their “Project Brief”.

In support of creating the conceptual development plan proposal, WCITARCHITECTURE will provide the following:

Review and comment on reference documentation provided by Brookfield Properties.
Provide additional zoning, neighborhood planning, and site information describing existing conditions for team use in preparing site analysis.
Provide background of the cultural and historical significance of the site/Center and local understanding of the functional operations (traffic/circulation, adjacencies, etc).
Offer applicable formal and programmatic precedents which align with the “Project Brief” principles and conceptual design priorities developed by the team.
Support Snøhetta to generate graphics and inform design ideas throughout the design process.
Review and comment on conceptual design materials developed by Snøhetta.
Assist in understanding and quantifying parking and FAR projections for proposed concept plan.
Participate on bi-weekly web-hosted check-ins/workshops with the ownership group
Participate on weekly web-hosted design coordination meetings
Participate in a 2-day presentation/workshop with Brookfield Properties and the ownership group (to be hosted in Honolulu).
Assist in the preparation of final report and/or presentation deliverables, including cultural narrative.  

The fees described below are based on a 14-week project schedule beginning in mid-August and concluding in November with a due diligence and site analysis (4 weeks), concept development (9 weeks), and Final Report (1 week).","","","","","","20123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Master Plan","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157333x222995242828828000","","admin_user_arch-dash_test",""
"","","","","","","","","","","","Kukulu Hale Award 2014
AIA Honolulu Award of Merit 2014","","","","","","1734967668403x935904333919549800","","","","LEED Silver","1730155404018x469290367630068800","","","","1728659653678x113956400766583870","","","Jan 1, 2014 12:00 am","","","","","","","","","","","","","","","","","","","","","","","1730039943222x720852572887955100","","","","","","","","","","","","","","","","","1734971967733x552358775370764800","","","Wailea, Maui","1730156264638x822999928689301900","","Andaz Maui at Wailea","","","","","","","","","","","1730156264638x822999928689301900","","","","","","","","","","100words
Originally built in 1978, the Wailea Beach Resort was one of the first two resorts in Wailea. The 15-acre property would later be known as the Stouffer Wailea Beach Resort and the Renaissance Wailea Beach Resort. With its inception over 30 years ago, the time had come for the resort to undergo a major renovation. The existing hotel structure stayed, but the majority of the site was redesigned and reconstructed. Five new villa structures were added. What was a 349-guestroom property is now a 297-guestroom-and-suite resort that includes seven luxury two to four bedroom villas, 12 privately-owned villas, two restaurants, a spa, four cascading infinity-edge pools, a separate adult pool, two poolside bars and lounges, 15,000 square feet of indoor and outdoor event space, and much more.

500-1000words","10131","","","","","","","","","","","","678792","87043","","","","","","","","1730082692719x553220684389339460","","","Arup North America Ltd (San Francisco Office)","","","","","","","Hotel/Timeshare Resort","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491614x431115685372992500","","admin_user_arch-dash_test",""
"","","1730082692723x177037860984538880","","","","","","","","","AIA Honolulu Award of Merit 2014","","","","","","1734967668404x540124318781535000","","","","LEED Silver 2014","1730155404018x469290367630068800","1732726177829x404658788641612860","","","1728659653678x113956400766583870","","","Apr 1, 2021 12:00 am","","","","","","","","","","","","","39100000","","","","","","","","","","1730039943222x720852572887955100","","","","","","1730155404019x964405795441279700","","","","","","","","","","","1730156561452x569837367048547900","","","Wailea, Maui","1730156264638x822999928689301900","","Andaz Maui at Wailea Ilikai Villas","","","","","","","","","","","","","","","","","","","","","100words
‘Ilikai Villas at Andaz Maui are luxury hotel villa suites in a newly constructed building on the resort property of Andaz Maui at Wailea. The new building is four stories tall and consisting of eighteen 3-bedroom, 3-bath units and one 3-bedroom, 3-bath penthouse suite. Each unit features a chef’s kitchen, living and dining areas, sweeping ocean views, modern locally inspired design elements, state-of-the-art lighting and technology and many indoor / outdoor details that enhance the resort experience and Maui’s undeniable beauty. 

500-1000words
The ‘Ilikai Villas sits within 0.9 acres of newly landscaped gardens, water features and pathways on the northern slope of the property, thereby providing the building with expansive ocean views.  Guests arrive to the building by crossing a pavilion floating over a water feature. The pavilion itself introduces recuring slat details of the villa’s architecture and interior design while also creating continuity with the resort’s porte cochere design. The water feature with its transition from a contemporary lava rock waterwall to an organic cascade of terraced ponds, presents guests with a harmony that the villa design itself intends to balance - sophisticated, modern details and aesthetics in a setting that is rooted in Maui’s natural beauty. 
A meandering path leads guests from the pavilion to separate building entries, providing private circulation for no more than two guest villas per floor. Like the water feature and pavilion, the landscape and site walls creates an exclusive garden environment for guests. Along the path is a fusion of native and tropical plants and slat walls with cutouts and custom profiles designed to frame views of Haleakalā while also evoking the contours of a bird’s wing. These slat walls, reminiscent of the main hotel, also visually elongate the building mass, which was limited in height to the top of the existing tree line. The exterior building palette of off-white stucco and dark bronze aluminum reflects the existing resort scheme while the rough hewn stone base serves to elevates the design for these more luxury units. 
The design concept weaves together three inspirations, local to the site; the ‘elepaio, considered an incarnation of the canoe goddess Lea who inspired the area name of Wailea, the ‘uala or sweet potato that was once cultivated in the midlands of Paeahu immediately mauka of the property, and mōkapu, symbolizing the piles of lava rocks that can still be seen along the beach of the hotel property today. These concepts are thoughtfully expressed through interior finishes, furniture, patterns, and textures. Soft, neutral-toned marble flooring, dual-toned millwork, and subtle stone veining reminiscent of the ‘elepaio’s feathers are contrasted by darker tones in furniture and artwork. These elements are then balanced by saturated pops of purple and green, celebrating the ‘uala, found in furniture, fabric and artwork. Organic shapes, surfaces, and patterns occurring in light fixtures, accessories, and details throughout reference Mōkapu. Wood slat feature walls, ceilings and millwork, accented by decorative lighting are warm, contemporary, and relatable touches. The ceiling to wall slat details serve to visually expand the sizes of the room and bring architectural touches of the exterior to the interior. Many of the furniture and lighting pieces are custom designed adding to the unique, elevated, and cohesive design, a hallmark of Hyatt’s ultra-luxury and contemporary Andaz brand.
The new building comprises eighteen standard villas (1,850sf each) and one Penthouse Villa (3,750sf). Each villa features an open plan Living, Dining, Chef’s Kitchen space that expands out to a large, sheltered lanai with a bbq, additional seating and coveted ocean views. Two master suites, each with a large walk-in closet and a five-fixture ensuite bath, a study or secondary bedroom, bath, and in-suite laundry round out the other amenities. Ground floor units have the added luxury of plunge pools in a garden setting and direct pathway to the beach. The Penthouse Villa boasts even more expansive bedroom suites and ensuites, a wrap-around lanai, outdoor BBQ, fire pit and living area adjacent to a dynamic cantilevering glass bottom pool with a glass wall giving swimmers have uninterrupted views. ‘Ilikai the Hawaiian word for horizon, aptly captures the new villa experience of expansive ocean views and the endless serenity of the sense of place that permeates the look and feel of the units.","18127","","","","","","","","","","New construction and interiors, 4 story building on existing resort site composed of 18 3-bedroom/3bath Condo villa units and 1 3bedroom/4 bath Condo Grand villa unit.","55,901 sf on 0.9 acre site","0.9","55901","","","","","","","Nov 1, 2018 12:00 am","1730082692719x553220684389339460","","","Arup North America Ltd (San Francisco Office)","","","","","","","Hotel/Timeshare Resort","","","","Dec 30, 2024 10:01 am","Dec 30, 2024 10:01 am","1735570869842x713186175966453200","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","1734971967732x444054635856151700","1732726177836x150072931446837000","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","30000000","","","","","","","","","","1730156561454x554511758673992240","","","","","","","","","","","","","","","","","1730156428455x722150633349592600","","","165 Kehalani Village Drive, Unit 10, Wailuku, HI 96793","1730156561454x554511758673992240","","Asako Plaza at Kehalani Village Center","","","","","","","","","","","","","","","","","","","","","Asako Plaza occupies a central lot within the new and developing Kehalani Village Center. The building occupies a prominent corner within a lushly landscaped setting. The building massing is a split butterfly roof form that consists of restaurant, retail and office tenant spaces spread over 21,835 square feet on three levels. The building form mirrors the massing of the island of Maui, with a shorter two-story Restaurant volume on the west, reminiscent to the West Maui Mountains and a taller, larger, three-story Retail and Office structure facing Haleakala towards the east. Like the wide valley that connects the island itself, the center of the project is a courtyard that bridges all activity that comes and goes, visitors and occupants crossing paths in a welcoming public space. The distinctive shape and exterior building materials present a modern and contemporary aesthetic that is new, yet familiar to locals acquainted with Wailuku and Kahului’s industrial warehouses and simple historic structures. The building encompasses innovation and progressiveness, a nod to the dynamic and forward-thinking creative businesses that occupy the building. Each interior space is bold, bespoke, and personal, with custom design elements that correspond to the tenant’s raw intuition, collaborative drive, hospitality, whimsy, and professionalism.","22116","","","","","","","","","","","","","21835","","","","","","","","1730155554352x145521819847869820","","","","","","","","","","Retail/Malls/Shopping Centers","","","","Dec 30, 2024 10:09 am","Dec 30, 2024 10:09 am","1735571384810x199467824658425820","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177834x333142778287109900","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227 LEWERS STREET, HONOLULU, HI 96815","","","Asato Luk Waikiki","","","","","","","","","","","","","","","","TENANT IMPROVEMENT; MINOR INTERIOR RENOVATIONS, PLUMBING, AND ELECTRICAL","","","","","","22128","","","","","","","","","","","","","47317","","","","","","","","","","","","","","","","","","Restaurant","","","","Dec 30, 2024 10:09 am","Dec 30, 2024 10:09 am","1735571384830x382156312840724800","","admin_user_arch-dash_test",""
"","","1730156561454x554511758673992240","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","20000000","","","","","","","","","","","","","","","","","","","","","","","","","","","1730156561453x299346794249964600","","","2444 Dole St, Honolulu, HI 96822","","","Bachman Hall Renovation University of Hawaiʻi at Mānoa","","","","","","","","","","","","","","","","","","","","","Renovation of existing building that includes structural upgrades, electrical, new HVAC, fully renovated interior, office/conference spaces with operable partitions, sound rated walls, modern technology infrastructure, roofing/exterior/envelope maintenance and improvements, while preserving two murals to the standards of the State of Hawaii Historic Preservation Division.","20102","","","","","","","","","","","","","26000","","","","","","","","1730082692723x377299236265733900","","","","","","","","","","Educational Facilities","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157306x797836647965863800","","admin_user_arch-dash_test",""
